time,mean_current_magnitude,trend_line
2004-01-16 12:00:00,0.07736063679783646,0.07437218278077848
2004-02-15 12:00:00,0.07769780066407932,0.07438560716011652
2004-03-16 12:00:00,0.08167616591325559,0.07439903153945455
2004-04-16 00:00:00,0.07929423540234655,0.07441267965844824
2004-05-16 12:00:00,0.07528668848988056,0.07442632777744192
2004-06-16 00:00:00,0.07099658756320264,0.07443997589643558
2004-07-16 12:00:00,0.06876734474712597,0.07445362401542927
2004-08-16 12:00:00,0.06840150614989136,0.07446749587407857
2004-09-16 00:00:00,0.06927440643785075,0.07448114399307225
2004-10-16 12:00:00,0.07083223556884997,0.07449479211206592
2004-11-16 00:00:00,0.07499383891117699,0.0745084402310596
2004-12-16 12:00:00,0.07640308156828834,0.07452208835005326
2005-01-16 12:00:00,0.07955414893246597,0.07453596020870258
2005-02-15 00:00:00,0.07712493099889221,0.07454916084838499
2005-03-16 12:00:00,0.07770147178434805,0.0745623614880674
2005-04-16 00:00:00,0.07805724989769734,0.07457600960706107
2005-05-16 12:00:00,0.07438526477887669,0.07458965772605475
2005-06-16 00:00:00,0.07004581246291822,0.07460330584504841
2005-07-16 12:00:00,0.0661309632643137,0.0746169539640421
2005-08-16 12:00:00,0.07022932026290189,0.0746308258226914
2005-09-16 00:00:00,0.07554947864062508,0.07464447394168508
2005-10-16 12:00:00,0.07612760384173153,0.07465812206067875
2005-11-16 00:00:00,0.07544652954094284,0.07467177017967243
2005-12-16 12:00:00,0.07348584239185024,0.07468541829866611
2006-01-16 12:00:00,0.07497599026277132,0.07469929015731541
2006-02-15 00:00:00,0.08211886725798855,0.07471249079699782
2006-03-16 12:00:00,0.07942502463976674,0.07472569143668023
2006-04-16 00:00:00,0.07487266479791979,0.0747393395556739
2006-05-16 12:00:00,0.07250884202763962,0.07475298767466758
2006-06-16 00:00:00,0.07066453815475315,0.07476663579366125
2006-07-16 12:00:00,0.0711410296948019,0.07478028391265493
2006-08-16 12:00:00,0.07270014795533378,0.07479415577130423
2006-09-16 00:00:00,0.07551378000238981,0.07480780389029791
2006-10-16 12:00:00,0.08251744537302307,0.07482145200929159
2006-11-16 00:00:00,0.0800356706163344,0.07483510012828526
2006-12-16 12:00:00,0.07861814379029011,0.07484874824727894
2007-01-16 12:00:00,0.08086316547469116,0.07486262010592824
2007-02-15 00:00:00,0.08391305846326157,0.07487582074561065
2007-03-16 12:00:00,0.08368393404738428,0.07488902138529306
2007-04-16 00:00:00,0.08065291845160918,0.07490266950428673
2007-05-16 12:00:00,0.07435207211922806,0.07491631762328041
2007-06-16 00:00:00,0.06995998075487077,0.07492996574227409
2007-07-16 12:00:00,0.07098159478878174,0.07494361386126776
2007-08-16 12:00:00,0.07131908961219659,0.07495748571991707
2007-09-16 00:00:00,0.07428241098239831,0.07497113383891074
2007-10-16 12:00:00,0.07786554386504897,0.07498478195790442
2007-11-16 00:00:00,0.07556294642323261,0.07499843007689809
2007-12-16 12:00:00,0.07619675433521371,0.07501207819589177
2008-01-16 12:00:00,0.07857379945610846,0.07502595005454107
2008-02-15 12:00:00,0.08272387064060659,0.07503937443387912
2008-03-16 12:00:00,0.08186522920903326,0.07505279881321716
2008-04-16 00:00:00,0.08023460449450513,0.07506644693221083
2008-05-16 12:00:00,0.07477312356637768,0.07508009505120451
2008-06-16 00:00:00,0.06885891387539758,0.07509374317019818
2008-07-16 12:00:00,0.06826891080564464,0.07510739128919186
2008-08-16 12:00:00,0.06733948479459315,0.07512126314784118
2008-09-16 00:00:00,0.0681069210571251,0.07513491126683484
2008-10-16 12:00:00,0.07410686580999341,0.07514855938582853
2008-11-16 00:00:00,0.07389823269153331,0.07516220750482219
2008-12-16 12:00:00,0.07516566175500237,0.07517585562381587
2009-01-16 12:00:00,0.07836558363691191,0.07518972748246518
2009-02-15 00:00:00,0.080528108324244,0.07520292812214759
2009-03-16 12:00:00,0.08142779136720828,0.07521612876183
2009-04-16 00:00:00,0.07917441320655128,0.07522977688082368
2009-05-16 12:00:00,0.06793542460625096,0.07524342499981734
2009-06-16 00:00:00,0.06936150899435077,0.07525707311881102
2009-07-16 12:00:00,0.0682819170167767,0.07527072123780469
2009-08-16 12:00:00,0.06992990619536056,0.07528459309645401
2009-09-16 00:00:00,0.07523936747886087,0.07529824121544768
2009-10-16 12:00:00,0.07769552562930458,0.07531188933444136
2009-11-16 00:00:00,0.07412494466899756,0.07532553745343502
2009-12-16 12:00:00,0.07683297358501395,0.0753391855724287
2010-01-16 12:00:00,0.0746134663484718,0.07535305743107801
2010-02-15 00:00:00,0.07772096377769813,0.07536625807076042
2010-03-16 12:00:00,0.0794094926569071,0.07537945871044283
2010-04-16 00:00:00,0.07599991332440226,0.07539310682943651
2010-05-16 12:00:00,0.07065526323059905,0.07540675494843017
2010-06-16 00:00:00,0.06813984359926524,0.07542040306742386
2010-07-16 12:00:00,0.06977362608240127,0.07543405118641752
2010-08-16 12:00:00,0.07015364949399644,0.07544792304506684
2010-09-16 00:00:00,0.07667236823314066,0.0754615711640605
2010-10-16 12:00:00,0.08069673606852587,0.07547521928305419
2010-11-16 00:00:00,0.08020666421142786,0.07548886740204787
2010-12-16 12:00:00,0.07538743248085825,0.07550251552104154
2011-01-16 12:00:00,0.07509123626696587,0.07551638737969085
2011-02-15 00:00:00,0.07598559933634783,0.07552958801937325
2011-03-16 12:00:00,0.07549233857346317,0.07554278865905566
2011-04-16 00:00:00,0.07759539953231788,0.07555643677804934
2011-05-16 12:00:00,0.07459579183922016,0.075570084897043
